Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region,Urbanicity
"4BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",5278000.0,4.0,3.0,91.0,143.0,Region III,Urban
"2BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",3970000.0,2.0,2.0,59.0,88.0,Region III,Urban
"Austine Homes | Amber 2BR Townhouse for Sale in Mabalacat, Pampanga | Futura by Filinvest","Santa Maria, Mabalacat",1979000.0,2.0,1.0,40.39,43.2,Region III,Urban
"New Leaf | Diana 2BR SA House for Sale in Trece Martires, Cavite | Futura by Filinvest","The Wood Estates, Brgy. Hugo Perez, Trece Martires",3148800.0,2.0,1.0,37.3,70.0,Region IV-A,Urban
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB 158sqm","Aningway Sacatihan, Subic",8434000.0,5.0,3.0,100.0,158.0,Region III,Urban
"Ready For You: 2BR SA House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga at Php 31,975 monthly amortization","Eden, Mexico",3979000.0,2.0,2.0,59.0,88.0,Region III,Urban
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | CHESSA Model","Alapan II-A, Imus",5978000.0,3.0,3.0,90.0,100.0,Region IV-A,Urban
"For Sale 3-Bedroom 2-Storey House and Lot in Mabalacat, Pampanga at Talanai Homes | AGOHO","Sapang Biabas, Mabalacat",2706500.0,3.0,2.0,62.0,65.0,Region III,Urban
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB 217sqm","Aningway Sacatihan, Subic",10501000.0,4.0,3.0,83.0,217.0,Region III,Urban
"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | GABRIELLE Model","Pasong Camachile I, General Trias",6650000.0,3.0,2.0,84.0,120.0,Region IV-A,Urban
