Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region
32539000.0,3.0,3.0,247.4,93.0,NCR
26981000.0,3.0,3.0,219.3,92.0,NCR
2089739.0,2.0,2.0,40.0,45.0,Region IV-A
5234791.0,3.0,2.0,75.0,80.0,Region IV-A
7805000.0,4.0,3.0,83.0,121.0,Region III
4359000.0,2.0,1.0,46.0,72.0,Region III
4057000.0,2.0,1.0,40.0,63.0,Region III
5869000.0,3.0,2.0,66.0,88.0,Region III
8079000.0,4.0,3.0,85.0,121.0,Region III
4944000.0,2.0,1.0,36.0,115.0,Region III
3136800.0,2.0,1.0,40.31,78.4,Region VII
5234791.0,3.0,2.0,75.0,80.0,Region IV-A
6753000.0,4.0,3.0,83.0,121.0,Region III
27088000.0,3.0,3.0,219.3,90.0,NCR
12069000.0,5.0,3.0,142.0,246.0,Region III
5362000.0,2.0,2.0,53.0,88.0,Region III
8079000.0,4.0,3.0,85.0,121.0,Region III
5869000.0,3.0,2.0,66.0,88.0,Region III
7805000.0,4.0,3.0,83.0,121.0,Region III
4359000.0,2.0,1.0,46.0,72.0,Region III
5074000.0,2.0,1.0,50.0,91.0,Region III
12941000.0,5.0,3.0,166.0,236.0,Region III
4057000.0,2.0,1.0,40.0,63.0,Region III
4944000.0,2.0,1.0,36.0,115.0,Region III
2224500.0,2.0,1.0,50.0,65.0,Region III
4706000.0,2.0,2.0,53.0,88.0,Region I
3185000.0,2.0,1.0,40.31,84.0,Region IV-A
5301000.0,2.0,2.0,53.0,96.0,Region I
2146550.0,3.0,2.0,61.33,154.0,Region III
14451000.0,5.0,3.0,142.0,154.0,Region IV-A
3336800.0,4.0,2.0,70.0,60.0,Region IV-A
4196000.0,2.0,1.0,40.0,63.0,Region III
5733000.0,2.0,2.0,53.0,88.0,Region III
5544000.0,2.0,1.0,36.0,104.0,Region III
7810000.0,3.0,2.0,66.0,99.0,Region III
8298000.0,5.0,3.0,100.0,110.0,Region III
4466000.0,2.0,1.0,46.0,63.0,Region III
32184000.0,3.0,3.0,247.4,92.0,NCR
4594000.0,2.0,1.0,46.0,63.0,Region III
4160000.0,2.0,1.0,46.0,60.0,Region III
6884000.0,4.0,3.0,85.0,110.0,Region III
6262000.0,3.0,2.0,66.0,96.0,Region III
